"Data","Long","LS","Short"
2003-04-28,0.00468093058901542,-0.0172697074330799,0.0219506380220953
2003-04-29,0.00880205314769511,-0.00918983248205096,0.0179918856297461
2003-04-30,-0.00161699560350959,0.00986849012503099,-0.0114854857285406
2003-05-02,0.0144375287243472,0.00126906115867143,0.0131684675656758
2003-05-05,0.00775358695597905,0.0110947933706369,-0.00334120641465785
2003-05-06,-0.00164043654103718,0.0127400909189771,-0.0143805274600143
2003-05-07,0.00991728891693677,-0.0271967742213026,0.0371140631382394
2003-05-08,0.00223893099657002,0.00249129440089546,-0.00025236340432544
2003-05-09,0.00997735340259731,-0.0177059896215725,0.0276833430241699
2003-05-12,-0.00516368287863544,-0.0111010966385889,0.00593741375995349
2003-05-13,-0.00740699077411278,-0.00258872928199083,-0.00481826149212194
2003-05-14,-0.00101041137266167,0.000378500713853924,-0.00138891208651559
