"Data","IBX_EW"
2003-09-08,0.00833050948410552
2003-09-09,-0.0149568313956838
2003-09-10,0.0158905180836602
2003-09-11,0.0149841556820351
2003-09-12,0.00811947901948651
2003-09-15,-0.00134375945397969
2003-09-16,-0.000925807356048192
2003-09-17,0.0136391919668244
2003-09-18,0.0196037970228196
2003-09-19,-0.0092247680289731
2003-09-22,-0.0172668665567194
2003-09-23,-0.00212732663670412
2003-09-24,-0.0169285871144339
2003-09-25,-0.0110407202206249
2003-09-26,-0.00138935853714317
2003-09-29,0.0145653798399785
2003-09-30,-0.000106639209863313
2003-10-01,0.0329217770195342
2003-10-02,0.016423116768332
2003-10-03,0.00884345262233266
2003-10-06,0.00878232423234437
2003-10-07,0.00768359890583592
2003-10-08,0.00912315655726381
2003-10-09,-0.0108146341278175
2003-10-10,-0.00104905916524534
